Exemplar,num_exemps,Target,Count
exemp1,2,SEN9_1.8_6_300-400_Test_000011_2exemps,201.19386291503906
exemp1,4,SEN9_1.8_6_300-400_Test_000011_4exemps,137.81777954101562
exemp1,6,SEN9_1.8_6_300-400_Test_000011_6exemps,70.5141830444336
exemp1,2,SEN9_1.8_6_300-400_Test_000002_2exemps,210.3239288330078
exemp1,4,SEN9_1.8_6_300-400_Test_000002_4exemps,125.8951416015625
exemp1,6,SEN9_1.8_6_300-400_Test_000002_6exemps,80.53242492675781
exemp1,2,SEN9_1.8_6_300-400_Test_000003_2exemps,259.1357421875
exemp1,4,SEN9_1.8_6_300-400_Test_000003_4exemps,175.0239715576172
exemp1,6,SEN9_1.8_6_300-400_Test_000003_6exemps,77.21328735351562
exemp1,2,SEN9_1.8_6_300-400_Test_000004_2exemps,255.94345092773438
exemp1,4,SEN9_1.8_6_300-400_Test_000004_4exemps,189.251953125
exemp1,6,SEN9_1.8_6_300-400_Test_000004_6exemps,100.53968048095703
exemp1,2,SEN9_1.8_6_300-400_Test_000005_2exemps,221.3095703125
exemp1,4,SEN9_1.8_6_300-400_Test_000005_4exemps,143.15969848632812
exemp1,6,SEN9_1.8_6_300-400_Test_000005_6exemps,83.87472534179688
exemp1,2,SEN9_1.8_6_300-400_Test_000006_2exemps,137.33511352539062
exemp1,4,SEN9_1.8_6_300-400_Test_000006_4exemps,85.30082702636719
exemp1,6,SEN9_1.8_6_300-400_Test_000006_6exemps,39.24592590332031
exemp1,2,SEN9_1.8_6_300-400_Test_000007_2exemps,120.19122314453125
exemp1,4,SEN9_1.8_6_300-400_Test_000007_4exemps,71.68836212158203
exemp1,6,SEN9_1.8_6_300-400_Test_000007_6exemps,58.726417541503906
exemp1,2,SEN9_1.8_6_300-400_Test_000008_2exemps,192.36172485351562
exemp1,4,SEN9_1.8_6_300-400_Test_000008_4exemps,115.76661682128906
exemp1,6,SEN9_1.8_6_300-400_Test_000008_6exemps,60.6978759765625
exemp1,2,SEN9_1.8_6_300-400_Test_000009_2exemps,188.67111206054688
exemp1,4,SEN9_1.8_6_300-400_Test_000009_4exemps,200.27154541015625
exemp1,6,SEN9_1.8_6_300-400_Test_000009_6exemps,95.06871032714844
exemp1,2,SEN9_1.8_6_300-400_Test_000010_2exemps,215.08409118652344
exemp1,4,SEN9_1.8_6_300-400_Test_000010_4exemps,156.91990661621094
exemp1,6,SEN9_1.8_6_300-400_Test_000010_6exemps,81.05778503417969
exemp2,2,SEN9_1.8_6_300-400_Test_000011_2exemps,73.31979370117188
exemp2,4,SEN9_1.8_6_300-400_Test_000011_4exemps,77.79214477539062
exemp2,6,SEN9_1.8_6_300-400_Test_000011_6exemps,93.96153259277344
exemp2,2,SEN9_1.8_6_300-400_Test_000002_2exemps,89.89593505859375
exemp2,4,SEN9_1.8_6_300-400_Test_000002_4exemps,70.2709732055664
exemp2,6,SEN9_1.8_6_300-400_Test_000002_6exemps,104.24089813232422
exemp2,2,SEN9_1.8_6_300-400_Test_000003_2exemps,125.44989013671875
exemp2,4,SEN9_1.8_6_300-400_Test_000003_4exemps,91.98301696777344
exemp2,6,SEN9_1.8_6_300-400_Test_000003_6exemps,94.57540893554688
exemp2,2,SEN9_1.8_6_300-400_Test_000004_2exemps,79.87251281738281
exemp2,4,SEN9_1.8_6_300-400_Test_000004_4exemps,104.35257720947266
exemp2,6,SEN9_1.8_6_300-400_Test_000004_6exemps,120.48439025878906
exemp2,2,SEN9_1.8_6_300-400_Test_000005_2exemps,81.22651672363281
exemp2,4,SEN9_1.8_6_300-400_Test_000005_4exemps,73.17778778076172
exemp2,6,SEN9_1.8_6_300-400_Test_000005_6exemps,103.0657958984375
exemp2,2,SEN9_1.8_6_300-400_Test_000006_2exemps,55.4892463684082
exemp2,4,SEN9_1.8_6_300-400_Test_000006_4exemps,60.03588104248047
exemp2,6,SEN9_1.8_6_300-400_Test_000006_6exemps,61.57414245605469
exemp2,2,SEN9_1.8_6_300-400_Test_000007_2exemps,52.03624725341797
exemp2,4,SEN9_1.8_6_300-400_Test_000007_4exemps,53.98489761352539
exemp2,6,SEN9_1.8_6_300-400_Test_000007_6exemps,71.17770385742188
exemp2,2,SEN9_1.8_6_300-400_Test_000008_2exemps,71.54741668701172
exemp2,4,SEN9_1.8_6_300-400_Test_000008_4exemps,64.4886474609375
exemp2,6,SEN9_1.8_6_300-400_Test_000008_6exemps,101.70658111572266
exemp2,2,SEN9_1.8_6_300-400_Test_000009_2exemps,80.45005798339844
exemp2,4,SEN9_1.8_6_300-400_Test_000009_4exemps,118.07157135009766
exemp2,6,SEN9_1.8_6_300-400_Test_000009_6exemps,116.37973022460938
exemp2,2,SEN9_1.8_6_300-400_Test_000010_2exemps,67.52073669433594
exemp2,4,SEN9_1.8_6_300-400_Test_000010_4exemps,78.94129943847656
exemp2,6,SEN9_1.8_6_300-400_Test_000010_6exemps,93.50648498535156
